"Name";"RA.hour";"RA.min";"RA.sec";"DECL.deg";"DECL.min";"DECL.sec";"Period";"Range";"N(obs)";"Dec.2020";"Jan.2021";"Feb.2021";"Mar.2021";"Apr.2021";"May.2021";"Jun.2021";"Jul.2021";"Aug.2021";"Sep.2021";"Oct.2021";"Nov.2021";"Dec.2021"
"T GRU";"22";"25";"40.93";"-37";"34";"9.1";"137.8";"<8.9-11.5>";54;"MAX(15)";"fading";"MIN(14)";"rising";"rising";"MAX(2)";"fading";"MIN(2)";"rising";"MAX(17)";"fading";"MIN(17)";"rising"
"S GRU";"22";"26";"5.46";"-48";"26";"18.8";"402.0";"<9.3-15.3>";24;"fading";"fading";"fading";"MIN(12)";"rising";"rising";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading"
"S LAC";"22";"29";"0.9";"40";"18";"55.9";"240.4";"<8.2-13.0>";118;"MAX(22)";"fading";"fading";"fading";"MIN(24)";"rising";"rising";"rising";"MAX(20)";"fading";"fading";"fading";"MIN(21)"
"R IND";"22";"36";"0.39";"-67";"17";"15.9";"216.8";"<8.4-13.4>";4;"fading";"fading";"MIN(16)";"rising";"rising";"rising";"MAX(8)";"fading";"fading";"MIN(21)";"rising";"rising";"rising"
"T TUC";"22";"40";"33.48";"-61";"33";"13.6";"255.4";"<8.9-13.5>";4;"rising";"rising";"MAX(7)";"fading";"fading";"MIN(28)";"rising";"rising";"rising";"rising";"MAX(21)";"fading";"fading"
"R LAC";"22";"43";"15.64";"42";"22";"11.2";"298.2";"<9.4-14.3>";20;"rising";"rising";"rising";"MAX(18)";"fading";"fading";"fading";"fading";"fading";"MIN(4)";"rising";"rising";"rising"
"S AQR";"22";"57";"6.48";"-20";"20";"35.4";"281.4";"<8.6-14.8>";72;"fading";"fading";"MIN(6)";"rising";"rising";"MAX(31)";"fading";"fading";"fading";"fading";"fading";"MIN(14)";"rising"
"RW PEG";"23";"4";"11.48";"15";"18";"11.9";"209.0";"<9.1-14.4>";129;"rising";"rising";"rising";"MAX(4)";"fading";"fading";"MIN(22)";"rising";"rising";"MAX(29)";"fading";"fading";"fading"
"R PEG";"23";"6";"39.17";"10";"32";"36";"373.9";"<7.7-12.2>";233;"MIN(6)";"rising";"rising";"rising";"rising";"MAX(27)";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(15)"
"V CAS";"23";"11";"40.72";"59";"41";"58.9";"228.1";"<7.2-12.0>";722;"rising";"rising";"MAX(14)";"fading";"fading";"fading";"MIN(18)";"rising";"rising";"MAX(30)";"fading";"fading";"fading"
"W PEG";"23";"19";"50.5";"26";"16";"43.6";"349.0";"<8.6-12.9>";135;"fading";"MIN(23)";"rising";"rising";"rising";"rising";"MAX(12)";"fading";"fading";"fading";"fading";"fading";"fading"
"S PEG";"23";"20";"32.62";"8";"55";"8.1";"320.5";"<7.8-12.1>";81;"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading";"fading";"MIN(2)";"rising";"rising";"rising"
"V PHE";"23";"32";"27.25";"-45";"59";"19.1";"256.7";"<9.2-13.6>";18;"fading";"fading";"fading";"MIN(23)";"rising";"rising";"rising";"MAX(19)";"fading";"fading";"fading";"fading";"MIN(4)"
"ST AND";"23";"38";"45.13";"35";"46";"21.2";"330.4";"<9.0-11.0>";138;"rising";"rising";"rising";"rising";"rising";"MAX(14)";"fading";"fading";"fading";"MIN(30)";"rising";"rising";"rising"
"R AQR";"23";"43";"49.45";"-15";"17";"4.1";"379.2";"<9.7-13.0>";1620;"fading";"fading";"MIN(28)";"rising";"rising";"rising";"rising";"MAX(23)";"fading";"fading";"fading";"fading";"fading"
"Z CAS";"23";"44";"31.54";"56";"34";"52.3";"496.0";"<9.8-14.6>";123;"rising";"rising";"rising";"rising";"MAX(4)";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading"
"RR CAS";"23";"55";"49.01";"53";"43";"29.3";"300.7";"<10.8-14.4>";64;"fading";"fading";"MIN(1)";"rising";"rising";"rising";"rising";"MAX(1)";"fading";"fading";"fading";"MIN(29)";"rising"
"R PHE";"23";"56";"27.55";"-49";"47";"12.5";"269.9";"<8.2-13.4>";19;"MIN(14)";"rising";"rising";"rising";"rising";"MAX(2)";"fading";"fading";"fading";"MIN(10)";"rising";"rising";"rising"
"R TUC";"23";"57";"26.35";"-65";"23";"4.8";"281.7";"<8.7-18.9>";1;"fading";"fading";"fading";"fading";"fading";"MIN(14)";"rising";"rising";"MAX(26)";"fading";"fading";"fading";"fading"
"V CET";"23";"57";"54.07";"-8";"57";"31.3";"260.9";"<9.7-14.4>";81;"fading";"fading";"MIN(15)";"rising";"rising";"rising";"MAX(6)";"fading";"fading";"fading";"fading";"MIN(3)";"rising"
"R CAS";"23";"58";"24.87";"51";"23";"19.7";"429.2";"<5.4-11.2>";434;"fading";"fading";"fading";"fading";"fading";"fading";"fading";"fading";"MIN(9)";"rising";"rising";"rising";"rising"
